timestamp_iso,file_id,file_title,file_type,query_chars,revisions_analyzed,revisions_total,diffs_count,content_summary_chars,system_prompt_chars,server_fetch_ms,server_diff_ms,server_ttfb_ms,server_stream_ms,server_total_ms,client_ttfb_ms,client_total_ms
2026-04-13T02:40:53.589Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,875,1,2148,2256,4404,2185,8382
2026-04-13T02:41:05.871Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,672,0,1451,2116,3567,1464,7366
2026-04-13T02:41:22.219Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,635,0,1280,4100,5380,1289,12527
2026-04-13T02:41:32.466Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,700,0,1415,2604,4019,1429,8192
2026-04-13T02:41:45.402Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,729,1,1496,3632,5128,1505,10807
2026-04-13T02:41:58.821Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,811,1,2005,2922,4927,2014,8915
2026-04-13T02:42:12.574Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,631,0,1405,3692,5097,1425,11030
2026-04-13T02:42:31.603Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,686,0,1751,3806,5557,1761,13792
2026-04-13T02:42:43.264Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,619,1,1546,2569,4115,1556,8927
2026-04-13T02:42:54.380Z,1walIKKBkl1bf47NgV8oO_6T5yd3OA5yn6IjAwZh4hCU,Test 1 (100 words) - Google Docs,doc,44,2,2,1,1056,2275,624,0,1497,3029,4526,1506,8737
2026-04-13T02:43:38.437Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,835,2,1576,2731,4307,1617,8409
2026-04-13T02:50:17.076Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,857,1,2002,3914,5916,2089,11524
2026-04-13T02:50:29.305Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,1210,1,2064,2669,4733,2074,9243
2026-04-13T02:50:46.250Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,691,1,1552,2379,3931,1559,8003
2026-04-13T02:51:22.304Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,602,1,1258,2799,4057,1270,8634
2026-04-13T02:51:59.609Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,779,1,1423,3565,4988,1430,10038
2026-04-13T02:52:15.989Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,673,0,1375,2966,4341,1385,8626
2026-04-13T02:52:35.415Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,730,0,1596,2433,4029,1606,8762
2026-04-13T02:52:57.489Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,569,1,1205,2768,3973,1214,8382
2026-04-13T02:53:29.152Z,1mwINobpJ2DuC03BURPDU0hLKU0N01VZw0LrzN5GrJYY,Test 2 (2000 words) - Google Docs,doc,44,2,2,1,14485,15705,635,0,1301,3648,4949,1310,9556
2026-04-13T02:54:39.537Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,949,3,1705,2706,4411,1746,8767
2026-04-13T02:55:15.126Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,649,0,1551,3273,4824,1563,10170
2026-04-13T02:55:28.886Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,633,1,1678,3012,4690,1688,8677
2026-04-13T02:56:22.826Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,664,1,1546,3650,5196,1557,9075
2026-04-13T02:56:47.054Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,735,1,1413,4439,5852,1422,9848
2026-04-13T02:57:00.917Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,678,0,1358,3336,4694,1366,9239
2026-04-13T02:57:36.805Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,659,1,1486,1984,3470,1496,7001
2026-04-13T02:57:50.036Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,679,2,1384,2806,4190,1394,7288
2026-04-13T02:58:13.817Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,699,1,1356,2348,3704,1366,7020
2026-04-13T02:58:41.394Z,1mJP4uG9m-sxBQSPGl198GSpu82gw18ndFqXFWqEDIoE,Test 3 (4000 words) - Google Docs,doc,44,2,2,1,28620,29840,646,1,1309,4361,5670,1319,11827
2026-04-13T02:59:59.564Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,904,2,1703,4317,6020,1742,9804
2026-04-13T03:00:11.363Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,786,1,1998,2919,4917,2008,8525
2026-04-13T03:00:34.281Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,772,1,1879,3219,5098,1888,9970
2026-04-13T03:01:19.917Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,773,0,1842,3336,5178,1851,10094
2026-04-13T03:01:38.392Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,759,1,1933,4142,6075,1943,11881
2026-04-13T03:02:02.496Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,783,1,1847,5786,7633,1856,13322
2026-04-13T03:02:15.897Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,702,1,1878,2824,4702,1888,8661
2026-04-13T03:02:32.173Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,723,2,2126,2964,5090,2136,8650
2026-04-13T03:02:54.220Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,773,0,1945,3185,5130,1952,9798
2026-04-13T03:03:20.723Z,1VvV_fIlIrV_a9zYFslCDw-X2R1pkN9KKuAB-p9CXF00,Test 4 (6000 words) - Google Docs,doc,44,2,2,1,42805,44025,653,0,1999,1805,3804,2009,6714
